statusId | label,,
516|Acc Gyro,,
517|Acc Gyro,,
518|Acc Gyro,,
519|Acc Gyro,,
520|Acc Gyro,,
521|Acc Gyro,,
522|Acc Gyro,,
523|Acc Gyro,,
524|Acc Gyro,,
525|Acc Gyro,,
526|Acc Gyro,,
527|Acc Gyro,,
statusId|sensorName|value|timestamp,,
516|MPU6500 Gyroscope Sensor|[0.023435818,-0.029827405,0.0]|1500643337641
516|MPU6500 Acceleration Sensor|[-0.48482585,2.2613235,9.847352]|1500643337642
516|MPU6500 Gyroscope Sensor|[0.023435818,-0.029827405,0.0]|1500643337642
516|MPU6500 Acceleration Sensor|[-0.60094464,2.315193,9.685743]|1500643337647
516|MPU6500 Gyroscope Sensor|[0.018109497,-0.034088463,0.0]|1500643337647
516|MPU6500 Acceleration Sensor|[-0.760159,2.1511903,9.92636]|1500643337651
516|MPU6500 Gyroscope Sensor|[0.027696876,-0.025566347,0.0]|1500643337651
516|MPU6500 Acceleration Sensor|[-0.49559975,1.9165585,9.888053]|1500643337657
516|MPU6500 Gyroscope Sensor|[0.039414786,-0.025566347,0.002130529]|1500643337657
516|MPU6500 Acceleration Sensor|[-0.2873042,1.6747441,9.345766]|1500643337662
516|MPU6500 Gyroscope Sensor|[0.02130529,-0.027696876,-0.002130529]|1500643337662
516|MPU6500 Acceleration Sensor|[-0.5374983,1.733402,9.378088]|1500643337667
516|MPU6500 Gyroscope Sensor|[-0.0063915867,-0.01917476,0.0010652645]|1500643337667
516|MPU6500 Acceleration Sensor|[-0.23822308,1.9548657,9.0429]|1500643337672
516|MPU6500 Gyroscope Sensor|[-0.0053263223,-0.015978966,0.0]|1500643337671
516|MPU6500 Acceleration Sensor|[-0.30765492,1.9931729,9.742006]|1500643337677
516|MPU6500 Gyroscope Sensor|[-0.002130529,-0.01917476,0.0]|1500643337677
516|MPU6500 Acceleration Sensor|[-0.18914193,2.1416135,9.5492735]|1500643337682
516|MPU6500 Gyroscope Sensor|[0.015978966,-0.013848438,0.0]|1500643337682
516|MPU6500 Acceleration Sensor|[-0.01316811,1.8267759,9.435549]|1500643337688
516|MPU6500 Gyroscope Sensor|[0.018109497,-0.017044231,-0.0031957934]|1500643337687
516|MPU6500 Acceleration Sensor|[0.1316811,1.6196774,8.917204]|1500643337694
516|MPU6500 Gyroscope Sensor|[0.0063915867,-0.010652645,-0.008522116]|1500643337693
516|MPU6500 Acceleration Sensor|[-0.022744916,1.4664485,9.204509]|1500643337697
516|MPU6500 Gyroscope Sensor|[-0.004261058,-0.011717909,-0.010652645]|1500643337696
516|MPU6500 Acceleration Sensor|[-0.45489833,1.816002,9.556456]|1500643337701
516|MPU6500 Gyroscope Sensor|[0.011717909,-0.001065265,-0.0053263223]|1500643337702
516|MPU6500 Acceleration Sensor|[-0.45489833,1.816002,9.556456]|1500643337704
516|MPU6500 Gyroscope Sensor|[0.011717909,-0.001065265,-0.0053263223]|1500643337704
516|MPU6500 Acceleration Sensor|[-0.4441244,1.9117701,10.156203]|1500643337707
516|MPU6500 Gyroscope Sensor|[0.041545313,0.001065265,-0.004261058]|1500643337707
516|MPU6500 Acceleration Sensor|[-0.50637364,1.8243817,10.363302]|1500643337713
516|MPU6500 Gyroscope Sensor|[0.060720075,0,-0.0031957934]|1500643337713
516|MPU6500 Acceleration Sensor|[-0.45729253,1.7944542,9.993398]|1500643337718
516|MPU6500 Gyroscope Sensor|[0.05219796,0.002130529,-0.0031957934]|1500643337718
516|MPU6500 Acceleration Sensor|[-0.5422867,1.8411411,9.721656]|1500643337721
516|MPU6500 Gyroscope Sensor|[0.03089267,-0.006391587,-0.004261058]|1500643337721
516|MPU6500 Acceleration Sensor|[-0.6380547,1.8495208,9.931149]|1500643337727
516|MPU6500 Gyroscope Sensor|[0.022370555,-0.001065265,-0.004261058]|1500643337728
516|MPU6500 Acceleration Sensor|[-0.47884035,1.9141643,10.032902]|1500643337733
516|MPU6500 Gyroscope Sensor|[0.035153728,0.002130529,-0.0031957934]|1500643337733
516|MPU6500 Acceleration Sensor|[-0.37469256,2.03148,9.767146]|1500643337736
516|MPU6500 Gyroscope Sensor|[0.04474111,0.003195793,-0.004261058]|1500643337736
516|MPU6500 Acceleration Sensor|[-0.1448492,2.1033063,9.507375]|1500643337742
516|MPU6500 Gyroscope Sensor|[0.039414786,0.007456851,-0.007456851]|1500643337742
516|MPU6500 Acceleration Sensor|[0.17357962,2.1452048,9.085996]|1500643337747
516|MPU6500 Gyroscope Sensor|[0.024501082,0.003195793,-0.011717909]|1500643337747
516|MPU6500 Acceleration Sensor|[-0.06823475,2.0111294,9.7958765]|1500643337752
516|MPU6500 Gyroscope Sensor|[0.011717909,0.005326322,-0.011717909]|1500643337752
516|MPU6500 Acceleration Sensor|[-0.2825158,1.8986019,9.382876]|1500643337757
516|MPU6500 Gyroscope Sensor|[0.036218993,0.010652645,-0.010652645]|1500643337757
516|MPU6500 Acceleration Sensor|[-0.32920274,1.7405846,9.569624]|1500643337762
516|MPU6500 Gyroscope Sensor|[0.043675844,0.014913702,-0.008522116]|1500643337762
516|MPU6500 Acceleration Sensor|[-0.32920274,1.7405846,9.569624]|1500643337764
516|MPU6500 Gyroscope Sensor|[0.043675844,0.014913702,-0.008522116]|1500643337764
516|MPU6500 Acceleration Sensor|[-0.4213795,1.6065093,9.469068]|1500643337767
