statusId | label
533|Acc Gyro
534|Acc Gyro
535|Acc Gyro
536|Acc Gyro
537|Acc Gyro
538|Acc Gyro
539|Acc Gyro
540|Acc Gyro
541|Acc Gyro
542|Acc Gyro
543|Acc Gyro
544|Acc Gyro
545|Acc Gyro
546|Acc Gyro
547|Acc Gyro
548|Acc Gyro
549|Acc Gyro
550|Acc Gyro
551|Acc Gyro
552|Acc Gyro
553|Acc Gyro
554|Acc Gyro
555|Acc Gyro
556|Acc Gyro
557|Acc Gyro
558|Acc Gyro
559|Acc Gyro
560|Acc Gyro
561|Acc Gyro
562|Acc Gyro
563|Acc Gyro
564|Acc Gyro
565|Acc Gyro
566|Acc Gyro
567|Acc Gyro
568|Acc Gyro
569|Acc Gyro
570|Acc Gyro
statusId|sensorName|value|timestamp
533|MPU6500 Acceleration Sensor|[1.271321,3.7469256,10.851719]|1500663731579
533|MPU6500 Gyroscope Sensor|[0.20453078,0.16298546,0.04580637]|1500663731578
533|MPU6500 Acceleration Sensor|[1.5310919,3.016694,11.162966]|1500663731584
533|MPU6500 Gyroscope Sensor|[0.17257284,0.16724652,0.03195793]|1500663731583
533|MPU6500 Acceleration Sensor|[-0.12090719,2.6671407,10.842142]|1500663731589
533|MPU6500 Gyroscope Sensor|[0.17044231,0.17576863,0.008522116]|1500663731588
533|MPU6500 Acceleration Sensor|[-0.866701,2.4672248,10.292673]|1500663731593
533|MPU6500 Gyroscope Sensor|[0.1768339,0.16618125,0.008522116]|1500663731594
533|MPU6500 Acceleration Sensor|[-0.61890113,1.8148049,10.623073]|1500663731598
533|MPU6500 Gyroscope Sensor|[0.1768339,0.165116,0.018109497]|1500663731598
533|MPU6500 Acceleration Sensor|[-0.6727707,-0.18555063,9.653421]|1500663731603
533|MPU6500 Gyroscope Sensor|[0.17044231,0.15020229,0.022370555]|1500663731603
533|MPU6500 Acceleration Sensor|[-0.6907272,0.07182605,8.2995]|1500663731608
533|MPU6500 Gyroscope Sensor|[0.1257012,0.13102753,0.022370555]|1500663731608
533|MPU6500 Acceleration Sensor|[-0.093373865,1.8926164,10.052056]|1500663731614
533|MPU6500 Gyroscope Sensor|[0.010652645,0.10865697,0.015978966]|1500663731614
533|MPU6500 Acceleration Sensor|[-0.5602432,3.4967315,11.737574]|1500663731619
533|MPU6500 Gyroscope Sensor|[-0.00958738,0.09054748,0.004261058]|1500663731619
533|MPU6500 Acceleration Sensor|[-1.2330139,3.3782187,12.107478]|1500663731624
533|MPU6500 Gyroscope Sensor|[0.08628642,0.1107875,-0.004261058]|1500663731623
533|MPU6500 Acceleration Sensor|[-1.1695676,2.409764,11.262324]|1500663731628
533|MPU6500 Gyroscope Sensor|[0.1257012,0.113983296,-0.0031957934]|1500663731628
533|MPU6500 Acceleration Sensor|[-1.0690111,2.9161377,10.948685]|1500663731632
533|MPU6500 Gyroscope Sensor|[0.13422333,0.1107875,-0.007456851]|1500663731633
533|MPU6500 Acceleration Sensor|[-1.0582372,3.53863,10.439917]|1500663731638
533|MPU6500 Gyroscope Sensor|[0.13635385,0.10439592,-0.02130529]|1500663731637
533|MPU6500 Acceleration Sensor|[-1.1971009,3.0969,10.770316]|1500663731642
533|MPU6500 Gyroscope Sensor|[0.1107875,0.10226539,-0.033023197]|1500663731643
533|MPU6500 Acceleration Sensor|[-1.4053963,2.086547,11.270704]|1500663731647
533|MPU6500 Gyroscope Sensor|[0.096939065,0.10013486,-0.03089267]|1500663731647
533|MPU6500 Acceleration Sensor|[-1.4053963,2.086547,11.270704]|1500663731651
533|MPU6500 Gyroscope Sensor|[0.096939065,0.10013486,-0.03089267]|1500663731651
533|MPU6500 Acceleration Sensor|[-1.2389994,2.1583729,10.630256]|1500663731658
533|MPU6500 Gyroscope Sensor|[0.111852765,0.09374327,-0.0127831735]|1500663731657
533|MPU6500 Acceleration Sensor|[-1.1324574,2.5965118,10.882844]|1500663731662
533|MPU6500 Gyroscope Sensor|[0.08522116,0.09267801,-0.002130529]|1500663731663
533|MPU6500 Acceleration Sensor|[-0.80684596,2.19668,11.038467]|1500663731668
533|MPU6500 Gyroscope Sensor|[0.05752428,0.0777643,0.00958738]|1500663731668
533|MPU6500 Acceleration Sensor|[-0.39504328,2.0350714,11.463438]|1500663731673
533|MPU6500 Gyroscope Sensor|[0.053263225,0.066046394,0.007456851]|1500663731673
533|MPU6500 Acceleration Sensor|[-0.9516952,1.7118542,11.256339]|1500663731677
533|MPU6500 Gyroscope Sensor|[0.07137272,0.0628506,-0.0031957934]|1500663731677
533|MPU6500 Acceleration Sensor|[-1.2641385,1.5717934,10.791864]|1500663731683
533|MPU6500 Gyroscope Sensor|[0.066046394,0.051132694,-0.0010652645]|1500663731683
533|MPU6500 Acceleration Sensor|[-1.2330139,1.6807296,10.123882]|1500663731689
533|MPU6500 Gyroscope Sensor|[0.04580637,0.029827405,0.004261058]|1500663731688
533|MPU6500 Acceleration Sensor|[-1.340753,2.2744915,9.987412]|1500663731692
533|MPU6500 Gyroscope Sensor|[0.03195793,0.00958738,0.0053263223]|1500663731692
533|MPU6500 Acceleration Sensor|[-1.5047557,3.1651347,10.156203]|1500663731698
533|MPU6500 Gyroscope Sensor|[0.051132694,-0.002130529,0.0053263223]|1500663731698
533|MPU6500 Acceleration Sensor|[-1.4257472,3.1830912,10.09156]|1500663731703
533|MPU6500 Gyroscope Sensor|[0.07137272,-0.0063915867,0.011717909]|1500663731704
533|MPU6500 Acceleration Sensor|[-1.2569559,2.9783869,9.297882]|1500663731708
533|MPU6500 Gyroscope Sensor|[0.07243799,0.002130529,0.007456851]|1500663731708
533|MPU6500 Acceleration Sensor|[-0.89662856,2.3139958,8.537724]|1500663731712
533|MPU6500 Gyroscope Sensor|[0.054328486,0.004261058,-0.0031957934]|1500663731712
533|MPU6500 Acceleration Sensor|[-0.80445176,1.3455414,8.244433]|1500663731718
533|MPU6500 Gyroscope Sensor|[0.03089267,0.013848438,-0.015978966]|1500663731718
533|MPU6500 Acceleration Sensor|[-0.7613561,1.3611037,8.985439]|1500663731723
533|MPU6500 Gyroscope Sensor|[0.007456851,0.008522116,-0.018109497]|1500663731722
533|MPU6500 Acceleration Sensor|[-0.6560113,2.123657,9.818622]|1500663731729
533|MPU6500 Gyroscope Sensor|[0.01917476,0.010652645,-0.022370555]|1500663731728
533|MPU6500 Acceleration Sensor|[-0.45729253,2.9747956,10.150218]|1500663731732
